classe,intensite_moyenne,ecart_type,est_outlier
Normal,0.5012528,0.22720598,Non
Normal,0.70912844,0.20421211,Non
Normal,0.5235253,0.22471878,Non
Normal,0.45898646,0.25382408,Non
Normal,0.55970716,0.26175445,Non
Normal,0.5186535,0.272472,Non
Normal,0.6742037,0.17955492,Non
Normal,0.5674891,0.14904945,Non
Normal,0.5104914,0.28044805,Non
Normal,0.43531737,0.29780275,Non
Normal,0.65386134,0.23287323,Non
Normal,0.40508586,0.24922073,Non
Normal,0.40091357,0.15790477,Non
Normal,0.44489986,0.28022096,Non
Normal,0.66053987,0.24403222,Non
Normal,0.5981222,0.2713846,Non
Normal,0.50102097,0.25065532,Non
Normal,0.39525598,0.27024564,Non
Normal,0.6299075,0.213988,Non
Normal,0.47986713,0.2671404,Non
Normal,0.39321327,0.25996637,Non
Normal,0.5074871,0.196364,Non
Normal,0.5449383,0.23826894,Non
Normal,0.40914235,0.29255003,Non
Normal,0.4433435,0.2688913,Non
Normal,0.5089855,0.2777997,Non
Normal,0.52598834,0.25499445,Non
Normal,0.35418686,0.2864232,Non
Normal,0.44389147,0.25218156,Non
Normal,0.56243914,0.28255358,Non
Normal,0.47547618,0.20013008,Non
Normal,0.41097862,0.14996645,Non
Normal,0.45073164,0.25177467,Non
Normal,0.60862035,0.17623876,Non
Normal,0.64389753,0.24636579,Non
Normal,0.62266755,0.27282977,Non
Normal,0.5657893,0.25963634,Non
Normal,0.4151351,0.2517548,Non
Normal,0.48599464,0.28846905,Non
Normal,0.5720551,0.24386442,Non
Normal,0.50572616,0.21481353,Non
Normal,0.4521468,0.26889548,Non
Normal,0.33122241,0.23222964,Non
Normal,0.44095364,0.26249108,Non
Normal,0.52452636,0.24636146,Non
Normal,0.7281705,0.19430406,Non
Normal,0.4748623,0.23442361,Non
Normal,0.38535655,0.27217153,Non
Normal,0.5008182,0.24877955,Non
Normal,0.49741212,0.2671159,Non
Normal,0.6046037,0.2759093,Non
Normal,0.45708722,0.27040467,Non
Normal,0.48620734,0.24587439,Non
Normal,0.49914593,0.24163787,Non
Normal,0.61222076,0.17199908,Non
Normal,0.61444676,0.19476202,Non
Normal,0.40687367,0.14807148,Non
Normal,0.42198685,0.13881062,Oui
Normal,0.5005319,0.25992143,Non
Normal,0.4374397,0.28733638,Non
Normal,0.67077255,0.20921673,Non
Normal,0.42219737,0.28392348,Non
Normal,0.67097455,0.26072684,Non
Normal,0.6314791,0.27694604,Non
Normal,0.49465287,0.28216302,Non
Normal,0.5087871,0.2635742,Non
Normal,0.50537765,0.27874938,Non
Normal,0.42690343,0.27696064,Non
Normal,0.35845998,0.2189236,Non
Normal,0.40778586,0.16164987,Non
Normal,0.45440382,0.24582446,Non
Normal,0.5105523,0.2709037,Non
Normal,0.39663747,0.16718201,Non
Normal,0.48082063,0.27916232,Non
Normal,0.54557425,0.20209232,Non
Normal,0.5816169,0.27004743,Non
Normal,0.45528075,0.1945365,Non
Normal,0.6366924,0.19195393,Non
Normal,0.44842225,0.26517746,Non
Normal,0.5148961,0.25178477,Non
Normal,0.53142565,0.24258898,Non
Normal,0.40278104,0.2516005,Non
Normal,0.44940743,0.23262946,Non
Normal,0.4602774,0.2515128,Non
Normal,0.31251052,0.27184293,Non
Normal,0.57679534,0.27973813,Non
Normal,0.46582353,0.22779699,Non
Normal,0.49775884,0.2463811,Non
Normal,0.35592932,0.18801677,Non
Normal,0.64448935,0.18984503,Non
Normal,0.31348327,0.25944278,Non
Normal,0.5130361,0.22259873,Non
Normal,0.5334082,0.27144864,Non
Normal,0.39950633,0.22650981,Non
Normal,0.53045416,0.26556838,Non
Normal,0.5707697,0.2664656,Non
Normal,0.64765745,0.18613221,Non
Normal,0.50077903,0.27073953,Non
Normal,0.4260786,0.25975257,Non
Normal,0.6383594,0.22212411,Non
Normal,0.456824,0.28782782,Non
Normal,0.7173109,0.17862123,Non
Normal,0.36877695,0.23468998,Non
Normal,0.41041103,0.15048566,Non
Normal,0.42951438,0.25863934,Non
Normal,0.49711084,0.24327552,Non
Normal,0.62819827,0.16396473,Non
Normal,0.51714486,0.25119603,Non
Normal,0.42865562,0.240457,Non
Normal,0.5505851,0.2616924,Non
Normal,0.36886996,0.17876579,Non
Normal,0.5282501,0.24783608,Non
Normal,0.7627988,0.16727267,Oui
Normal,0.42798808,0.26923415,Non
Normal,0.5026828,0.21434522,Non
Normal,0.6827702,0.21326566,Non
Normal,0.26147127,0.31117076,Oui
Normal,0.52450836,0.26650965,Non
Normal,0.45359877,0.2398007,Non
Normal,0.41799816,0.2545971,Non
Normal,0.65629333,0.2573202,Non
Normal,0.5953682,0.21509293,Non
Normal,0.46663952,0.22900838,Non
Normal,0.49409953,0.28577447,Non
Normal,0.45674,0.26433644,Non
Normal,0.5362882,0.21769015,Non
Normal,0.49570906,0.18511985,Non
Normal,0.45419484,0.27584583,Non
Normal,0.46798828,0.26433465,Non
Normal,0.3916496,0.2377661,Non
Normal,0.5920389,0.24359763,Non
Normal,0.39154318,0.26385596,Non
Normal,0.5115472,0.26803297,Non
Normal,0.5448944,0.25759685,Non
Normal,0.4934247,0.28513414,Non
Normal,0.40604848,0.2622374,Non
Normal,0.5119218,0.24294974,Non
Normal,0.49497512,0.26170573,Non
Normal,0.48077932,0.287574,Non
Normal,0.41137797,0.14495933,Oui
Normal,0.39706448,0.26037753,Non
Normal,0.4465902,0.18517648,Non
Normal,0.66041136,0.2113148,Non
Normal,0.7045842,0.1910528,Non
Normal,0.40819147,0.19995615,Non
Normal,0.4276149,0.25061584,Non
Normal,0.5067347,0.22714639,Non
Normal,0.43989292,0.2335132,Non
Normal,0.4976188,0.27975735,Non
Normal,0.51623017,0.28469944,Non
Normal,0.5283901,0.2730349,Non
Normal,0.5018397,0.25242195,Non
Normal,0.6043399,0.28099024,Non
Normal,0.6341178,0.16673303,Non
Normal,0.45973623,0.24918826,Non
Normal,0.39715102,0.27215877,Non
Normal,0.4169047,0.14457588,Oui
Normal,0.43624827,0.24980317,Non
Normal,0.6286322,0.20736742,Non
Normal,0.72582775,0.25039092,Non
Normal,0.42843866,0.20407447,Non
Normal,0.42346868,0.28009173,Non
Normal,0.504398,0.29040897,Non
Normal,0.46722534,0.24724934,Non
Normal,0.5305056,0.24172646,Non
Normal,0.6354166,0.23597574,Non
Normal,0.42841837,0.12834734,Oui
Normal,0.55133057,0.2551407,Non
Normal,0.50904346,0.24999404,Non
Normal,0.7058616,0.19791374,Non
Normal,0.41318184,0.27291206,Non
Normal,0.45960075,0.2274431,Non
Normal,0.46181968,0.19625272,Non
Normal,0.3863314,0.27985877,Non
Normal,0.66854984,0.19073969,Non
Normal,0.42215097,0.2573881,Non
Normal,0.61371803,0.23697059,Non
Normal,0.41823176,0.2587392,Non
Normal,0.43459305,0.25330463,Non
Normal,0.40926355,0.25745308,Non
Normal,0.6197207,0.2962951,Non
Normal,0.6377758,0.13931163,Oui
Normal,0.53315234,0.23802799,Non
Normal,0.6271091,0.22679314,Non
Normal,0.593815,0.24244629,Non
Normal,0.4944114,0.28075948,Non
Normal,0.45760205,0.28705212,Non
Normal,0.63325286,0.22103749,Non
Normal,0.5263193,0.2872047,Non
Normal,0.5069027,0.23665345,Non
Normal,0.54126567,0.27670842,Non
Normal,0.4937214,0.279643,Non
Normal,0.59397054,0.28941512,Non
Normal,0.6634325,0.23105887,Non
Normal,0.6493319,0.233486,Non
Normal,0.6675392,0.20348357,Non
Normal,0.42931554,0.27271736,Non
Normal,0.4827367,0.22749951,Non
Normal,0.43840367,0.25477117,Non
Normal,0.45597893,0.2589821,Non
Normal,0.53052163,0.2739032,Non
Normal,0.45285466,0.2660977,Non
Normal,0.5862695,0.24601245,Non
Normal,0.6061225,0.2722338,Non
Normal,0.5551038,0.17154343,Non
Normal,0.4702728,0.18543889,Non
Normal,0.7384879,0.19006282,Non
Normal,0.53863406,0.26250222,Non
Normal,0.5021217,0.14206503,Oui
Normal,0.48198977,0.25253403,Non
Normal,0.42267883,0.27139696,Non
Normal,0.40141872,0.20974621,Non
Normal,0.5695751,0.18596354,Non
Normal,0.43343362,0.26080686,Non
Normal,0.5049164,0.2865895,Non
Normal,0.6820858,0.17547615,Non
Normal,0.69175524,0.21293284,Non
Normal,0.43118516,0.22655813,Non
Normal,0.46190235,0.25605485,Non
Normal,0.5832905,0.19454059,Non
Normal,0.68172795,0.2090191,Non
Normal,0.35530978,0.2628438,Non
Normal,0.4440772,0.25156364,Non
Normal,0.48328093,0.28005686,Non
Normal,0.4345679,0.26491007,Non
Normal,0.5349897,0.27273166,Non
Normal,0.5550006,0.25817975,Non
Normal,0.45159966,0.27212048,Non
Normal,0.6035174,0.20874332,Non
Normal,0.5296682,0.26406717,Non
Normal,0.45385376,0.23139994,Non
Normal,0.4670021,0.24176471,Non
Normal,0.31735235,0.26544574,Non
Normal,0.47189593,0.25669503,Non
Normal,0.6278295,0.22459778,Non
Normal,0.4137811,0.2891715,Non
Normal,0.5190761,0.24309425,Non
Normal,0.39323184,0.24760443,Non
Normal,0.60155237,0.25161642,Non
Normal,0.47402295,0.1496896,Non
Normal,0.6340496,0.2597414,Non
Normal,0.52420294,0.256477,Non
Normal,0.45265386,0.20863758,Non
Normal,0.49064773,0.27453783,Non
Normal,0.48317763,0.28320083,Non
Normal,0.66698176,0.20489824,Non
Normal,0.61780024,0.25758168,Non
Normal,0.47089115,0.27483517,Non
Normal,0.4609214,0.252617,Non
Normal,0.5824703,0.21994077,Non
Normal,0.6448946,0.20620999,Non
Normal,0.4939334,0.2438488,Non
Normal,0.5264968,0.2604028,Non
Normal,0.42455328,0.25891396,Non
Normal,0.43945983,0.2714343,Non
Normal,0.53062433,0.14802821,Non
Normal,0.4433879,0.27277175,Non
Normal,0.461908,0.23311879,Non
Normal,0.4524325,0.1962954,Non
Normal,0.6362392,0.21151349,Non
Normal,0.62217414,0.22559704,Non
Normal,0.5254712,0.21653974,Non
Normal,0.45182434,0.2716846,Non
Normal,0.47293296,0.24504253,Non
Normal,0.5569295,0.2661532,Non
Normal,0.55999774,0.18442596,Non
Normal,0.566942,0.23360641,Non
Normal,0.3957714,0.2305548,Non
Normal,0.58154505,0.24485302,Non
Normal,0.48339206,0.22061451,Non
Normal,0.620157,0.22420274,Non
Normal,0.56388927,0.16702451,Non
Normal,0.49035132,0.28446162,Non
Normal,0.43758214,0.11637394,Oui
Normal,0.47758135,0.2645754,Non
Normal,0.48887455,0.25584048,Non
Normal,0.56173617,0.17971823,Non
Normal,0.5461644,0.2709676,Non
Normal,0.47938693,0.2876553,Non
Normal,0.45164886,0.26794004,Non
Normal,0.5759136,0.27500522,Non
Normal,0.48595876,0.274987,Non
Normal,0.46258178,0.29188964,Non
Normal,0.5161659,0.22114046,Non
Normal,0.28396356,0.27238274,Non
Normal,0.44186866,0.21851252,Non
Normal,0.4527344,0.22740085,Non
Normal,0.6417484,0.22903669,Non
Normal,0.66718334,0.18786716,Non
Normal,0.55842596,0.26654223,Non
Normal,0.4339356,0.2226541,Non
Normal,0.5818401,0.19613844,Non
Normal,0.49916598,0.20274936,Non
Normal,0.5999478,0.23873733,Non
Normal,0.44651994,0.26597217,Non
Normal,0.5167803,0.28229088,Non
Normal,0.44445533,0.20357068,Non
Normal,0.4231235,0.23749147,Non
Normal,0.30879325,0.28787282,Non
Normal,0.56571126,0.25563294,Non
Normal,0.50726426,0.23983738,Non
Normal,0.62047595,0.19022143,Non
Normal,0.4256682,0.1772741,Non
Normal,0.46806464,0.28572962,Non
Normal,0.6427492,0.22987817,Non
Normal,0.4394345,0.27006513,Non
Normal,0.41532114,0.1521209,Non
Normal,0.44646403,0.25637102,Non
Normal,0.743642,0.15358794,Oui
Normal,0.5085114,0.29662174,Non
Normal,0.57767755,0.22928384,Non
Normal,0.40553203,0.16095611,Non
Normal,0.37579766,0.27811176,Non
Normal,0.5758209,0.27386773,Non
Normal,0.67724556,0.23193023,Non
Normal,0.3893805,0.29096916,Non
Normal,0.40039697,0.28003383,Non
Normal,0.5860965,0.22233161,Non
Normal,0.6682694,0.17436327,Non
Normal,0.52340937,0.2769694,Non
Normal,0.6251536,0.17452948,Non
Normal,0.49060667,0.25346687,Non
Normal,0.56321716,0.2744589,Non
Normal,0.4546466,0.2717523,Non
Normal,0.41807637,0.14741427,Non
Normal,0.4571741,0.26636088,Non
Normal,0.36344913,0.27458146,Non
Normal,0.3877034,0.2753047,Non
Normal,0.6340951,0.20984219,Non
Normal,0.48419213,0.23262934,Non
Normal,0.517866,0.29056504,Non
Normal,0.60851276,0.23425351,Non
Normal,0.65150505,0.20917965,Non
Normal,0.5332248,0.26473,Non
Normal,0.68452305,0.23717526,Non
Normal,0.66825825,0.17951572,Non
Normal,0.5172465,0.21474254,Non
Normal,0.6127555,0.19925636,Non
Normal,0.37666017,0.22983839,Non
Normal,0.41657174,0.25424147,Non
Normal,0.47141984,0.2268737,Non
Normal,0.43539152,0.2586503,Non
Normal,0.44438413,0.25608727,Non
Normal,0.51593053,0.229566,Non
Normal,0.4744302,0.25119057,Non
Normal,0.37888336,0.17384906,Non
Normal,0.520471,0.22988904,Non
Normal,0.5378801,0.25824177,Non
Normal,0.5048022,0.26729783,Non
Normal,0.5913908,0.23631674,Non
Normal,0.48468292,0.2587279,Non
Normal,0.51419485,0.28671035,Non
Normal,0.653744,0.22311501,Non
Normal,0.4986729,0.27197084,Non
Normal,0.58244234,0.27391115,Non
Normal,0.48513854,0.29370376,Non
Normal,0.50878537,0.23555177,Non
Normal,0.5575317,0.28496298,Non
Normal,0.58004725,0.21937194,Non
Normal,0.32136017,0.24100727,Non
Normal,0.3991851,0.2568706,Non
Normal,0.40880686,0.16750024,Non
Normal,0.5423211,0.23573248,Non
Normal,0.43677518,0.2742506,Non
Normal,0.5575303,0.23031574,Non
Normal,0.5917767,0.283682,Non
Normal,0.47546798,0.2499604,Non
Normal,0.44225225,0.2619467,Non
Normal,0.3849138,0.1768569,Non
Normal,0.635557,0.16755418,Non
Normal,0.43930036,0.2726279,Non
Normal,0.47124115,0.2461487,Non
Normal,0.6192084,0.24487156,Non
Normal,0.38432518,0.28857583,Non
Normal,0.4293118,0.19513094,Non
Normal,0.4265384,0.2644429,Non
Normal,0.43947303,0.124238245,Oui
Normal,0.37218046,0.17727722,Non
Normal,0.41607696,0.28750023,Non
Normal,0.48925593,0.167382,Non
Normal,0.4591094,0.275133,Non
Normal,0.47772327,0.2586528,Non
Normal,0.63408047,0.22332178,Non
Normal,0.6708259,0.17331539,Non
Normal,0.4579623,0.27913105,Non
Normal,0.586852,0.23070605,Non
Normal,0.5141435,0.25042292,Non
Normal,0.43622005,0.26709494,Non
Normal,0.5455249,0.27759472,Non
Normal,0.58647615,0.21276523,Non
Normal,0.46974874,0.28168058,Non
Normal,0.6527033,0.17573312,Non
Normal,0.5336788,0.27027178,Non
Normal,0.5259969,0.2552466,Non
Normal,0.40079284,0.22173621,Non
Normal,0.4489293,0.24726756,Non
Normal,0.43306047,0.25883797,Non
Normal,0.48027924,0.23512639,Non
Normal,0.44437313,0.2530365,Non
Normal,0.4581011,0.1960189,Non
Normal,0.4490536,0.29821348,Non
Normal,0.50633174,0.26631698,Non
Normal,0.39252144,0.169956,Non
Normal,0.58597326,0.20878923,Non
Normal,0.4173434,0.14702794,Non
Normal,0.67559505,0.2482854,Non
Normal,0.41879076,0.1391039,Oui
Normal,0.4855088,0.20048282,Non
Normal,0.6660914,0.15977912,Non
Normal,0.6265251,0.19310124,Non
Normal,0.51948524,0.2413083,Non
Normal,0.4267564,0.18918155,Non
Normal,0.5337,0.2111799,Non
Normal,0.5178149,0.27212927,Non
Normal,0.48162177,0.2683329,Non
Normal,0.49364266,0.26953706,Non
Normal,0.59685475,0.26852193,Non
Normal,0.51660895,0.26523224,Non
Normal,0.54040444,0.26389113,Non
Normal,0.60096127,0.18272153,Non
Normal,0.43003193,0.27900895,Non
Normal,0.45644367,0.20034076,Non
Normal,0.4607881,0.27447653,Non
Normal,0.61386806,0.25644916,Non
Normal,0.4774014,0.26504377,Non
Normal,0.40608004,0.2677621,Non
Normal,0.3981187,0.23862103,Non
Normal,0.68166375,0.2030647,Non
Normal,0.44727024,0.21771853,Non
Normal,0.4282319,0.24931398,Non
Normal,0.45737004,0.16367137,Non
Normal,0.46348694,0.23401825,Non
Normal,0.47498,0.25533292,Non
Normal,0.4754823,0.26357225,Non
Normal,0.47254863,0.2741654,Non
Normal,0.52708083,0.19949938,Non
Normal,0.4314098,0.26484385,Non
Normal,0.48984584,0.26283905,Non
Normal,0.47379217,0.23568165,Non
Normal,0.5612103,0.2718589,Non
Normal,0.49544913,0.271139,Non
Normal,0.5737608,0.17669927,Non
Normal,0.65835637,0.1796853,Non
Normal,0.44698125,0.27574494,Non
Normal,0.58346397,0.21342117,Non
Normal,0.443128,0.26433775,Non
Normal,0.44010562,0.16482963,Non
Normal,0.4609765,0.25234026,Non
Normal,0.34854564,0.24694242,Non
Normal,0.5269732,0.29443356,Non
Normal,0.38060737,0.21714355,Non
Normal,0.44861946,0.23135895,Non
Normal,0.51489764,0.27632773,Non
Normal,0.4671114,0.25919893,Non
Normal,0.4954717,0.28010347,Non
Normal,0.54658306,0.2336037,Non
Normal,0.6109588,0.21025458,Non
Normal,0.4883645,0.23096812,Non
Normal,0.6078047,0.22335637,Non
Normal,0.63691926,0.26234153,Non
Normal,0.6262734,0.24097058,Non
Normal,0.6100059,0.221504,Non
Normal,0.51315063,0.24169731,Non
Normal,0.4447195,0.27474877,Non
Normal,0.47774488,0.2236352,Non
Normal,0.51407737,0.24948688,Non
Normal,0.54575145,0.21595743,Non
Normal,0.4191147,0.24992244,Non
Normal,0.4974932,0.23717502,Non
Normal,0.7024577,0.20304431,Non
Normal,0.59208184,0.2296027,Non
Normal,0.61409444,0.27202287,Non
Normal,0.5206167,0.28798544,Non
Normal,0.511253,0.21854214,Non
Normal,0.5576302,0.25605476,Non
Normal,0.6876934,0.17539908,Non
Normal,0.45455876,0.29298198,Non
Normal,0.614526,0.22031559,Non
Normal,0.45078057,0.1893842,Non
Normal,0.4163044,0.27502674,Non
Normal,0.56777376,0.26985678,Non
Normal,0.6733791,0.21506988,Non
Normal,0.47300994,0.29430243,Non
Normal,0.44473884,0.2565397,Non
Normal,0.42716008,0.26711532,Non
Normal,0.43000793,0.2803177,Non
Normal,0.616432,0.24949738,Non
Normal,0.4704619,0.27989563,Non
Normal,0.48855448,0.26702234,Non
Normal,0.65439874,0.17608523,Non
Normal,0.4915806,0.1731802,Non
Normal,0.5437401,0.25583166,Non
Normal,0.51166254,0.28460053,Non
Normal,0.47737065,0.25393656,Non
Normal,0.5653427,0.23674828,Non
Normal,0.45108294,0.22654371,Non
Normal,0.40949616,0.15143842,Non
Normal,0.42074195,0.27280772,Non
Normal,0.68783396,0.17656468,Non
Normal,0.58439285,0.2328596,Non
Normal,0.46696812,0.26014805,Non
Normal,0.47815827,0.26466972,Non
Normal,0.49932572,0.2633449,Non
Normal,0.6288711,0.24362245,Non
Normal,0.45613423,0.29348606,Non
Normal,0.38977394,0.26562816,Non
Normal,0.4040425,0.23778874,Non
Normal,0.5516092,0.271258,Non
Normal,0.55610234,0.27474263,Non
Normal,0.5112672,0.23519157,Non
Normal,0.1853056,0.25264966,Oui
Normal,0.6020791,0.20979817,Non
Normal,0.50224334,0.22033295,Non
Normal,0.5928913,0.24505885,Non
Normal,0.46456337,0.26410556,Non
Normal,0.48254284,0.25996,Non
Normal,0.43079633,0.26035187,Non
Normal,0.39740184,0.26829153,Non
Normal,0.4927987,0.24876024,Non
Normal,0.64040375,0.20415875,Non
Normal,0.4870732,0.26713437,Non
Normal,0.5550871,0.25593755,Non
Normal,0.5189224,0.26792094,Non
Normal,0.6304135,0.20651159,Non
Normal,0.4587578,0.21506333,Non
Normal,0.49487972,0.19123378,Non
Normal,0.4827081,0.25480813,Non
Normal,0.5664694,0.2436545,Non
Normal,0.43024546,0.13009161,Oui
Normal,0.5984357,0.22248524,Non
Normal,0.47867036,0.27754477,Non
Normal,0.4571878,0.27418813,Non
Normal,0.45253348,0.19451599,Non
Normal,0.56519896,0.25223932,Non
Normal,0.6519266,0.20580515,Non
Normal,0.5083722,0.22840454,Non
Normal,0.4981223,0.25609007,Non
Normal,0.6469021,0.18897665,Non
Normal,0.41716415,0.25075808,Non
Normal,0.49012983,0.17945497,Non
Normal,0.62950605,0.19280991,Non
Normal,0.5442042,0.28749657,Non
Normal,0.65103394,0.22610494,Non
Normal,0.42619866,0.23275383,Non
Normal,0.53930914,0.25753242,Non
Normal,0.48983565,0.2257871,Non
Normal,0.5433624,0.24159189,Non
Normal,0.42137375,0.2410362,Non
Normal,0.41488874,0.14674819,Non
Normal,0.40577382,0.2380221,Non
Normal,0.46957174,0.24616432,Non
Normal,0.39190766,0.21483465,Non
Normal,0.56774837,0.20570773,Non
Normal,0.70857364,0.17803395,Non
Normal,0.495785,0.27120745,Non
Normal,0.46936506,0.26521212,Non
Normal,0.43673638,0.28601253,Non
Normal,0.51353043,0.27373517,Non
Normal,0.41769186,0.26872712,Non
Normal,0.41708827,0.26858053,Non
Normal,0.6339212,0.20260516,Non
Normal,0.39123663,0.27877373,Non
Normal,0.4355961,0.24038655,Non
Normal,0.5086923,0.26200724,Non
Normal,0.53500146,0.28250182,Non
Normal,0.4313378,0.2528413,Non
Normal,0.42600012,0.26816186,Non
Normal,0.4752743,0.17328803,Non
Normal,0.49968588,0.20099145,Non
Normal,0.6856815,0.20235147,Non
Normal,0.522559,0.2743571,Non
Normal,0.72561324,0.15170002,Non
Normal,0.4662779,0.27141786,Non
Normal,0.46937636,0.30113432,Non
Normal,0.513457,0.2835162,Non
Normal,0.47340083,0.27403188,Non
Normal,0.4286218,0.26972824,Non
Normal,0.624784,0.25976542,Non
Normal,0.5114435,0.26188597,Non
Normal,0.47798428,0.267229,Non
Normal,0.71636564,0.20873679,Non
Normal,0.70132524,0.22748034,Non
Normal,0.5499617,0.25818077,Non
Normal,0.47836477,0.26349884,Non
Normal,0.48176956,0.2709473,Non
Normal,0.7458512,0.14894374,Oui
Normal,0.46682286,0.17200357,Non
Normal,0.44793966,0.16773261,Non
Normal,0.47442642,0.26291734,Non
Normal,0.5080672,0.29101998,Non
Normal,0.5002561,0.25604215,Non
Normal,0.43022972,0.17781362,Non
Normal,0.42557597,0.26570877,Non
Normal,0.47646117,0.20318179,Non
Normal,0.6492337,0.23293069,Non
Normal,0.45838624,0.24151777,Non
Normal,0.54420465,0.28039074,Non
Normal,0.4552258,0.22541203,Non
Normal,0.46628156,0.25523743,Non
Normal,0.4602942,0.24399422,Non
Normal,0.41261494,0.26302883,Non
Normal,0.48032278,0.2043125,Non
Normal,0.46253398,0.19687699,Non
Normal,0.45307332,0.22603233,Non
Normal,0.4828204,0.253677,Non
Normal,0.3896287,0.17019266,Non
Normal,0.46927747,0.2437909,Non
Normal,0.48822352,0.28735143,Non
Normal,0.547402,0.2330042,Non
Normal,0.43665224,0.23535562,Non
Normal,0.58420426,0.23389961,Non
Normal,0.40763518,0.25730416,Non
Normal,0.50082296,0.22034402,Non
Normal,0.4527298,0.29773274,Non
Normal,0.49335063,0.25148243,Non
Normal,0.4671314,0.23420046,Non
Normal,0.51473695,0.2113128,Non
Normal,0.45257914,0.2240893,Non
Normal,0.48121417,0.29055694,Non
Normal,0.61037385,0.19496796,Non
Normal,0.60126454,0.32919973,Non
Normal,0.4219294,0.27145013,Non
Normal,0.42224076,0.25619686,Non
Normal,0.66942614,0.19874789,Non
Normal,0.40220445,0.2567019,Non
Normal,0.46950027,0.25380746,Non
Normal,0.42898566,0.28102395,Non
Normal,0.52754515,0.2331974,Non
Normal,0.6942195,0.23990288,Non
Normal,0.46406615,0.24751359,Non
Normal,0.38512838,0.24159051,Non
Normal,0.6039058,0.26453614,Non
Normal,0.44401628,0.26454785,Non
Normal,0.39189062,0.166316,Non
Normal,0.4448483,0.25021935,Non
Normal,0.44399744,0.2241954,Non
Normal,0.4992468,0.28304315,Non
Normal,0.47704244,0.21655594,Non
Normal,0.5207693,0.24792787,Non
Normal,0.7359361,0.20042528,Non
Normal,0.46817097,0.27753782,Non
Normal,0.512579,0.23932149,Non
Normal,0.45582867,0.2637642,Non
Normal,0.46343333,0.22093035,Non
Normal,0.48269463,0.2411081,Non
Normal,0.4499073,0.26623613,Non
Normal,0.49210545,0.2608657,Non
Normal,0.48048168,0.23845105,Non
Normal,0.4501333,0.22164017,Non
Normal,0.33029324,0.22854325,Non
Normal,0.47289953,0.28012693,Non
Normal,0.50978184,0.24756473,Non
Normal,0.49460244,0.24870783,Non
Normal,0.46704403,0.25402692,Non
Normal,0.63912725,0.25346342,Non
Normal,0.4970787,0.2703077,Non
Normal,0.4244898,0.13477038,Oui
Normal,0.5997051,0.23254052,Non
Normal,0.47362402,0.26250416,Non
Normal,0.47988316,0.24928537,Non
Normal,0.60714066,0.24592079,Non
Normal,0.53708136,0.23916635,Non
Normal,0.5114567,0.23777632,Non
Normal,0.48616374,0.23858921,Non
Normal,0.63996166,0.22820576,Non
Normal,0.55093414,0.263042,Non
Normal,0.510232,0.2576673,Non
Normal,0.43894282,0.2882081,Non
Normal,0.45483682,0.27761382,Non
Normal,0.4255502,0.2510298,Non
Normal,0.5168493,0.21351759,Non
Normal,0.40515062,0.2794045,Non
Normal,0.42038846,0.23631838,Non
Normal,0.51528424,0.28672078,Non
Normal,0.5784857,0.15359953,Non
Normal,0.5369499,0.2591238,Non
Normal,0.40774554,0.14361086,Oui
Normal,0.546662,0.28757158,Non
Normal,0.63503486,0.24042127,Non
Normal,0.34219572,0.28524017,Non
Normal,0.5306099,0.26934806,Non
Normal,0.46390852,0.26565245,Non
Normal,0.6439355,0.224479,Non
Normal,0.64794815,0.15497182,Non
